 dimension	transform	wavelet	boundary_mode	category	backend	max_coeff	abs_tol	max_abs	pcc	passed	error
2d	lwt2d+ilwt2d_roundtrip	sym6	periodic	Compact	standalone	13.9887	0.00139887	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym6	antisymmetric	Compact	standalone	13.9887	0.00139887	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym6	smooth	Compact	standalone	13.9887	0.00139887	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym6	reflect	Compact	standalone	13.9887	0.00139887	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym6	antireflect	Compact	standalone	13.9887	0.00139887	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	symmetric	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	zero	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	constant	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	periodic	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	antisymmetric	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	smooth	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	reflect	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym7	antireflect	Large / Sensitive	standalone	17127.2	85.63600000000001	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	symmetric	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	zero	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	constant	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	periodic	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	antisymmetric	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
2d	lwt2d+ilwt2d_roundtrip	sym8	smooth	Large / Sensitive	standalone	19.0019	0.0950095	0	0.0	False	build/lwt_2d exit code 1: Unknown option: --height; build/ilwt_2d exit code 1: Unknown option: --benchmark
